Año;Mes;Período;Operador;Línea;Servicio;Tipo de Tracción;TK Remolcados (1);TK Coche Motor (2);TK Eléctricos (3);Trenes Kilómetro (TK) (1+2+3);Variación % TK;CK Locomotoras (4);CK Remolcados (5);CK Coche Motor (6);CK Eléctricos (7);Coches Kilómetro (CK) (5+6+7);Varicaión % CK;Velocidad Comercial Trenes Diésel;Variación % Velocidad Comercial TD;Velocidad Comercial Trenes Eléctricos;Variación % Velocidad Comercial TE;Form. Media Trenes Remolcados;Form. Media Trenes Coche Motor;Form. Media Trenes Eléctricos;Asientos Ofrecidos Coches Remolcados;Asientos Ofrecidos Coches Motor;Asientos Ofrecidos Coches Eléctrico;Asientos Prom. x C. Remolcados;Asientos Prom. x C. Motor;Asientos Prom. x C. Eléctricos;Trenes Programados;Trenes Cancelados;Trenes Corridos (TC);Variación % TC;Trenes Puntuales;Trenes Atrasados;Regularidad Absoluta;RA 95%;RA 95%+;Regularidad Relativa;Cumplimiento del Programa;Columna1;Pasajeros Pagos (PAX);Variación % PAX;PAX Día Habil (promedio estimado);Variación % Día Hábil;PAX x Tren;PAX x Coche;Variación % Pax x Coche;Capacidad x Coche (4xm2);AJUSTE;Ocupación Media (PaxKm/CocheKm);Variación % Ocupacion Media;% de Ocupación Media PAX;Variación % Ocupación PAX;PAX Kilómetro;PAX Recorrido Medio;Vaciación % PAX Recorrido Medio;PAX Desestacionalizados;Columna2;Columna3;Variación % Indicadores de Confort;Recaudación Vta. Boletos $;Tarifa Media $;TARIFA como % del Salario medio (44 bol x mes);Tarifa Media US Dólar;Indice Dia Habil;Km. Línea (entre cabeceras) en Servicio;Km. De Vía (entre cabeceras);Cantidad de Estaciones en Servicio;Personal;Recaudación/Km. Línea (PESOS);Recaudación/Km. Línea (DÓLAR US);Recaudación/Trenes Corridos (PESOS);Recaudación/Trenes Corridos (DÓLAR US);Recaudación/Coche Kilómetro (PESOS);Recaudación/Coche Kilómetro (DÓLAR US);Recaudación/Pasajeros Kilómetro (PESOS);Recaudación/Pasajeros Kilómetro (DÓLAR US);Recaudación/Personal (PESOS);Recaudación/Personal (DÓLAR US);Pasajeros Pagos/Personal;Trenes corridos/Personal;Pasajeros Pagos/Km. Línea;Pasajeros Pagos/Estaciones;UTILIZACIÓN DE INFRAESTRUCTURA: Densidad vinculada a la demanda (Pax Km/Km Línea);UTILIZACIÓN DE INFRAESTRUCTURA: Densidad vinculada a la oferta (Coches Km/Km Línea);Coches en Servicio;Pax/Coches en Servicio;OBSERVACIONES;Cotización Dólar US;TC Remolcados;;Periodo;DÓLAR - Tipo de cambio nominal promedio mensual (BCRA);Ingreso Medio Centros Urbanos (promedios mensuales en base a trimestralers);5/26/2026;PAX;TC;Ocupación Media (PaxKm/CocheKm);% Ocupación Media (PaxKm/CocheKm/Capacidad x Coche);Regularidad Absoluta;;Tarifa Media;Tarifa Media Dolares;Pasajeros Totales (estimados);Evasión Estimada;Observaciones;Captación Media (Pax x Coche);Trenes Kilómetro;Coches Kilómetro;;Estaciones en servicio;;;PAX Dìa Habil
2005;Enero;January-2005;Ferrovías S.A.C.;Belgrano Norte;BN - Retiro-Villa Rosa (d);Diésel;189,756;;;189,756;7.6%;218,220;1,223,927;;;1,223,927;7.6%;38.9;0.0%;;;6.0;;;1,999,104;;;76;;;4,496;112;4,384;6.8%;4,163;221;92.59%;95.00%;;94.96%;97.51%;-3.30%;2,953,060;5.0%;108,409;5.0%;674;112;-1.7%;188;;42.6;-1.8%;22.64%;-1.8%;52,091,978;17.6;0.6%;3,238,802;;;1.89%;$1,852,277.80;$0.63;3.80%;USD 0.21;27.24;51.94;103.89;22;738;$ 35,659.13;USD 12,104.25;$ 422.51;USD 143.42;$ 1.51;USD 0.51;$0.036;USD 0.012;$ 2,509.86;USD 851.96;4,001;5.94;56,851;134,230;1,002,849;23,562;120;24,609;;2.95;;;January-1993;$1.00; $630.00 ;;;;;;;;;;;;;;;;;;;;
2005;Febrero;February-2005;Ferrovías S.A.C.;Belgrano Norte;BN - Retiro-Villa Rosa (d);Diésel;177,230;;;177,230;7.5%;203,814;1,143,132;;;1,143,132;7.5%;38.9;0.0%;;;6.0;;;1,882,368;;;76;;;4,144;16;4,128;8.8%;3,977;151;95.97%;95.00%;95.97%;96.34%;99.61%;-1.00%;2,942,512;3.7%;118,841;3.7%;713;119;-4.7%;188;;45.6;-2.7%;24.28%;-2.7%;52,170,738;17.7;0.9%;3,293,944;;;2.93%;$1,848,091.40;$0.63;3.73%;USD 0.22;24.76;51.94;103.89;22;738;$ 35,578.53;USD 12,204.07;$ 447.70;USD 153.57;$ 1.62;USD 0.55;$0.035;USD 0.012;$ 2,504.19;USD 858.98;3,987;5.59;56,648;133,751;1,004,365;22,007;120;24,521;;2.92;;;February-1993;$1.00; $630.00 ;Dato;23,554,474;52,153;46;27.9%;75.40%;; $272.78 ; USD 0.00 ;36,769,390;35.9%;Desde el 22/02 al 04/03 el ramal Tigre estubo cerrado por obras de cambio de vias. Los ramales J.L. Suárez y Mitre hicieron cabecera en Belgrano R.;73;1,827,021;11,259,965;;0;;;995,655
2005;Marzo;March-2005;Ferrovías S.A.C.;Belgrano Norte;BN - Retiro-Villa Rosa (d);Diésel;193,442;;;193,442;-0.6%;222,458;1,247,698;;;1,247,698;-0.6%;38.9;0.0%;;;6.0;;;2,069,328;;;76;;;4,563;25;4,538;-1.0%;4,346;192;95.24%;95.00%;95.24%;95.77%;99.45%;1.46%;3,414,936;2.2%;129,207;2.2%;753;125;3.3%;188;;47.8;3.5%;25.45%;3.5%;59,693,081;17.5;0.6%;3,364,688;;;-1.84%;$2,126,107.10;$0.62;3.66%;USD 0.21;26.43;51.94;103.89;22;738;$ 40,930.75;USD 13,985.77;$ 468.51;USD 160.09;$ 1.70;USD 0.58;$0.036;USD 0.012;$ 2,880.90;USD 984.39;4,627;6.15;65,743;155,224;1,149,181;24,020;120;28,458;;2.93;;;March-1993;$1.00; $630.00 ;Var %;-10.43%;-5.02%;-4.76%;;;;3.41%;;;;;#DIV/0!;-3.46%;-4.63%;;;;;4.85%
2005;Abril;April-2005;Ferrovías S.A.C.;Belgrano Norte;BN - Retiro-Villa Rosa (d);Diésel;186,720;;;186,720;2.1%;214,728;1,204,343;;;1,204,343;2.1%;38.9;0.0%;;;6.0;;;1,981,320;;;76;;;4,401;56;4,345;1.0%;4,077;268;92.64%;95.00%;;93.83%;98.73%;-1.26%;3,451,944;11.7%;130,410;11.7%;794;132;10.5%;188;;50.5;10.2%;26.88%;10.2%;60,857,773;17.6;0.7%;3,461,013;;;-5.11%;$2,141,163.15;$0.62;3.61%;USD 0.21;26.47;51.94;103.89;22;738;$ 41,220.61;USD 14,212.04;$ 492.79;USD 169.90;$ 1.78;USD 0.61;$0.035;USD 0.012;$ 2,901.31;USD 1,000.31;4,677;5.89;66,455;156,907;1,171,604;23,185;120;28,766;;2.90;;;April-1993;$1.00; $630.00 ;Año;2026;2026;2026;2026;2026;;2026;2026;2026;2026;2026;2026;2026;2026;;2026;;;2026
2005;Mayo;May-2005;Ferrovías S.A.C.;Belgrano Norte;BN - Retiro-Villa Rosa (d);Diésel;190,948;;;190,948;2.6%;219,590;1,231,615;;;1,231,615;2.6%;38.9;0.0%;;;6.0;;;2,021,904;;;76;;;4,496;62;4,434;2.2%;4,073;361;90.59%;95.00%;;91.86%;98.62%;-2.28%;3,500,307;9.1%;129,593;9.1%;789;132;6.8%;188;;50.2;8.0%;26.71%;8.0%;61,850,425;17.7;1.5%;3,416,904;;;-3.93%;$2,171,489.50;$0.62;3.57%;USD 0.21;27.01;51.94;103.89;22;738;$ 41,804.43;USD 14,460.70;$ 489.74;USD 169.41;$ 1.76;USD 0.61;$0.035;USD 0.012;$ 2,942.40;USD 1,017.81;4,743;6.01;67,386;159,105;1,190,714;23,710;120;29,169;;2.89;;;May-1993;$1.00; $636.94 ;Mes;Abril;Abril;Abril;Abril;Abril;;Abril;Abril;Abril;Abril;Abril;Abril;Abril;Abril;;Abril;;;Abril
2005;Junio;June-2005;Ferrovías S.A.C.;Belgrano Norte;BN - Retiro-Villa Rosa (d);Diésel;177,561;;;177,561;-4.2%;204,195;1,145,269;;;1,145,269;-4.2%;38.9;0.0%;;;6.0;;;1,885,104;;;76;;;4,401;267;4,134;-4.6%;3,923;211;89.14%;95.00%;;94.90%;93.93%;1.45%;3,139,442;-2.0%;123,454;-2.0%;759;127;2.7%;188;;48.6;4.3%;25.87%;4.3%;55,693,701;17.7;2.0%;3,227,751;;;-3.12%;$1,944,443.30;$0.62;3.49%;USD 0.21;25.43;51.94;103.89;22;738;$ 37,433.45;USD 12,981.50;$ 470.35;USD 163.11;$ 1.70;USD 0.59;$0.035;USD 0.012;$ 2,634.75;USD 913.70;4,254;5.60;60,439;142,702;1,072,187;22,048;120;26,162;;2.88;;;June-1993;$1.00; $642.63 ;;2025;2025;2025;2025;2025;;2025;;;;;2025;2025;2025;;;;;2025
2005;Julio;July-2005;Ferrovías S.A.C.;Belgrano Norte;BN - Retiro-Villa Rosa (d);Diésel;190,365;;;190,365;-0.4%;218,920;1,227,853;;;1,227,853;-0.4%;38.9;0.0%;;;6.0;;;2,020,992;;;76;;;4,496;64;4,432;-1.4%;4,179;253;92.95%;95.00%;;94.29%;98.58%;-1.09%;3,385,940;3.2%;124,300;3.2%;764;127;4.7%;188;;49.1;5.7%;26.09%;5.7%;60,235,873;17.8;2.0%;3,349,048;;;-3.44%;$2,108,841.65;$0.62;3.43%;USD 0.22;27.24;51.94;103.89;22;738;$ 40,598.37;USD 14,147.74;$ 475.82;USD 165.81;$ 1.72;USD 0.60;$0.035;USD 0.012;$ 2,857.51;USD 995.79;4,588;6.01;65,184;153,906;1,159,631;23,638;120;28,216;;2.87;;;July-1993;$1.00; $648.31 ;;26,298,182;54,909;48;29.3%;72.63%;; $263.78 ;1138860.72101303;;;;#DIV/0!;1,892,539;11,806,416;;;;;949,632
2005;Agosto;August-2005;Ferrovías S.A.C.;Belgrano Norte;BN - Retiro-Villa Rosa (d);Diésel;189,422;;;189,422;-0.2%;217,836;1,221,773;;;1,221,773;-0.2%;38.9;0.0%;;;6.0;;;2,021,448;;;76;;;4,599;166;4,433;-1.0%;4,176;257;90.80%;95.00%;;94.20%;96.39%;-0.35%;3,330,422;2.1%;123,578;2.1%;751;125;3.2%;188;;48.2;4.7%;25.66%;4.7%;58,948,469;17.7;2.3%;3,257,016;;;-2.80%;$2,063,288.15;$0.62;3.33%;USD 0.21;26.95;51.94;103.89;22;738;$ 39,721.40;USD 13,753.95;$ 465.44;USD 161.16;$ 1.69;USD 0.58;$0.035;USD 0.012;$ 2,795.78;USD 968.07;4,513;6.01;64,116;151,383;1,134,847;23,521;120;27,754;;2.89;;;August-1993;$1.00; $654.00 ;;;;;;;;;;;Ev. Ultimos 12 meses;;;;;;;;;
2005;Septiembre;September-2005;Ferrovías S.A.C.;Belgrano Norte;BN - Retiro-Villa Rosa (d);Diésel;205,678;;;205,678;9.4%;236,529;1,326,620;;;1,326,620;9.4%;38.9;0.0%;;;6.0;;;2,213,880;;;76;;;4,904;49;4,855;9.5%;4,590;265;93.60%;95.00%;;94.54%;99.00%;-0.24%;3,536,352;4.7%;134,770;4.7%;728;121;-4.4%;188;;47.0;-2.7%;25.03%;-2.7%;62,416,613;17.7;1.7%;3,416,025;;;3.08%;$2,191,209.70;$0.62;3.29%;USD 0.21;26.24;51.94;103.89;22;738;$ 42,184.08;USD 14,487.78;$ 451.33;USD 155.01;$ 1.65;USD 0.57;$0.035;USD 0.012;$ 2,969.12;USD 1,019.72;4,792;6.58;68,080;160,743;1,201,614;25,539;120;29,470;;2.91;;;September-1993;$1.00; $659.69 ;;;;;;;;;;;37.03%;;;;;;;;;
2005;Octubre;October-2005;Ferrovías S.A.C.;Belgrano Norte;BN - Retiro-Villa Rosa (d);Diésel;204,907;;;204,907;8.1%;235,642;1,321,647;;;1,321,647;8.1%;38.9;-0.1%;;;6.0;;;2,209,320;;;76;;;4,875;30;4,845;9.6%;4,575;270;93.85%;95.00%;;94.43%;99.38%;-0.15%;3,598,066;5.7%;132,088;5.7%;743;124;-3.6%;188;;48.0;-0.8%;25.53%;-0.8%;63,433,904;17.6;1.4%;3,357,555;;;2.17%;$2,229,450.25;$0.62;3.25%;USD 0.21;27.24;51.94;103.89;22;738;$ 42,920.27;USD 14,470.76;$ 460.15;USD 155.14;$ 1.69;USD 0.57;$0.035;USD 0.012;$ 3,020.94;USD 1,018.52;4,875;6.57;69,268;163,548;1,221,198;25,444;120;29,984;;2.97;;;October-1993;$1.00; $665.38 ;;;;;;;;;;;288,171,881;;;;;;;;;
